"","Country_Region","Confirmed.x","Deaths.x","MeanConfirmed","MeanDeaths","missC","missD","nullC","nullD","Confirmed.y","Deaths.y","T_Mean_C","T_Mean_D"
"108","Madagascar",32565,766,89.22,2.1,0,0,0,0,32565,766,89.22,2.1
"109","Malawi",68492,2175,187.65,5.96,0,0,0,0,68492,2175,187.65,5.96
"110","Malaysia",2645076,31016,7246.78,84.98,0,0,0,0,2645076,31016,7246.78,84.98
"111","Maldives",81943,214,224.5,0.59,0,0,0,0,81943,214,224.5,0.59
"112","Mali",13918,391,38.13,1.07,0,0,0,0,13918,391,38.13,1.07
"113","Malta",39699,257,108.76,0.7,0,0,0,0,39699,257,108.76,0.7
"114","Marshall Islands",0,0,0,0,0,0,0,0,0,0,0,0
"115","Mauritania",27109,519,74.27,1.42,0,0,0,0,27109,519,74.27,1.42
"116","Mauritius",67953,776,186.17,2.13,0,0,0,0,67953,776,186.17,2.13
"117","Mexico",2553629,173621,6996.24,475.67,0,0,0,0,2553629,173621,6996.24,475.67
"118","Micronesia",1,0,0,0,0,0,20,20,1,0,0,0
"119","Moldova",231337,7290,633.8,19.97,0,0,0,0,231337,7290,633.8,19.97
"120","Monaco",4110,35,11.26,0.1,0,0,0,0,4110,35,11.26,0.1
"121","Mongolia",691426,1985,1894.32,5.44,0,0,0,0,691426,1985,1894.32,5.44
"122","Montenegro",121787,1730,333.66,4.75,0,1,0,0,121787,1729,333.66,4.74
"123","Morocco",523899,7461,1435.34,20.44,0,0,0,0,523899,7461,1435.34,20.44
"124","Mozambique",170454,1874,468.28,5.15,1,1,0,0,170438,1840,466.95,5.04
"125","MS Zaandam",0,0,0,0,0,0,0,0,0,0,0,0
"126","Namibia",124033,3429,339.82,9.42,0,1,0,0,124033,3428,339.82,9.39
"127","Nepal",567838,9738,1555.72,26.68,0,0,0,0,567838,9738,1555.72,26.68
"128","Netherlands",2374752,9867,6506.17,27.03,0,0,0,0,2374752,9867,6506.17,27.03
"129","New Zealand",11961,22,32.95,0.06,2,0,0,0,11958,22,32.76,0.06
"130","Nicaragua",8734,52,23.93,0.14,0,0,0,0,8734,52,23.93,0.14
"131","Niger",4082,171,11.18,0.47,0,0,0,0,4082,171,11.18,0.47
"132","Nigeria",153906,1741,421.66,4.77,0,0,0,0,153906,1741,421.66,4.77
"133","North Macedonia",141720,5457,388.27,14.95,0,0,0,0,141720,5457,388.27,14.95
"134","Norway",344692,871,944.36,2.4,0,2,0,0,344692,869,944.36,2.38
"135","Oman",176622,2617,483.9,7.17,0,0,0,0,176622,2617,483.9,7.17
"136","Pakistan",813755,18757,2229.47,51.39,0,0,0,0,813755,18757,2229.47,51.39
"137","Palau",10,0,0.03,0,0,0,0,0,10,0,0.03,0
"138","Panama",249130,3406,682.55,9.33,0,0,0,0,249130,3406,682.55,9.33
"139","Papua New Guinea",35378,581,96.93,1.59,0,0,0,0,35378,581,96.93,1.59
"140","Paraguay",358169,14362,981.28,39.35,0,0,0,0,358169,14362,981.28,39.35
"141","Peru",1281694,110329,3511.49,303.94,0,2,0,0,1281694,109620,3511.49,300.33
"142","Philippines",2369926,42260,6510.79,115.78,1,0,0,0,2369915,42260,6492.92,115.78
"143","Poland",2813337,68500,7707.77,187.67,0,0,0,0,2813337,68500,7707.77,187.67
"144","Portugal",975968,12049,2673.88,33.01,0,0,0,0,975968,12049,2673.88,33.01
"145","Qatar",106694,373,292.31,1.02,0,0,0,0,106694,373,292.31,1.02
"146","Romania",1176628,42985,3223.64,117.77,0,0,0,0,1176628,42985,3223.64,117.77
"147","Russia",7193058,246400,19707.01,675.07,0,0,0,0,7193058,246400,19707.01,675.07
"148","Rwanda",103403,1258,283.3,3.45,0,0,0,0,103403,1258,283.3,3.45
"149","Saint Kitts and Nevis",2967,28,8.13,0.08,0,0,0,0,2967,28,8.13,0.08
"150","Saint Lucia",13217,290,36.21,0.79,0,0,0,0,13217,290,36.21,0.79
"151","Saint Vincent and the Grenadines",5729,81,15.7,0.22,0,0,0,0,5729,81,15.7,0.22
"152","Samoa",1,0,0,0,0,0,0,0,1,0,0,0
"153","San Marino",5869,41,16.08,0.11,0,0,0,0,5869,41,16.08,0.11
"154","Sao Tome and Principe",2883,44,7.9,0.12,0,1,0,0,2883,40,7.9,0.11
"155","Saudi Arabia",193495,2654,530.12,7.27,0,0,0,0,193495,2654,530.12,7.27
"156","Senegal",55915,1480,153.19,4.05,0,0,0,0,55915,1480,153.19,4.05
"157","Serbia",961416,9503,2634.02,26.04,0,0,0,0,961416,9503,2634.02,26.04
"158","Seychelles",24563,134,67.48,0.37,1,0,0,0,24562,134,67.29,0.37
"159","Sierra Leone",4453,47,12.2,0.13,0,0,0,0,4453,47,12.2,0.13
"160","Singapore",220806,799,604.95,2.19,0,0,0,0,220806,799,604.95,2.19
"161","Slovakia",1096479,14497,3004.05,39.72,0,0,0,0,1096479,14497,3004.05,39.72
"162","Slovenia",341896,2892,936.7,7.92,0,0,0,0,341896,2892,936.7,7.92
"163","Solomon Islands",7,0,0.02,0,0,0,0,0,7,0,0.02,0
"164","Somalia",18818,1203,51.56,3.3,0,0,0,0,18818,1203,51.56,3.3
"165","South Africa",2401125,62676,6578.42,171.72,0,0,0,0,2401125,62676,6578.42,171.72
"166","South Sudan",11684,72,32.01,0.2,0,0,0,0,11684,72,32.01,0.2
"167","Spain",4440910,38568,12233.91,105.67,2,0,0,0,4366480,38568,11962.96,105.67
"168","Sri Lanka",543946,14775,1490.26,40.48,0,0,0,0,543946,14775,1490.26,40.48
"169","Sudan",21031,1863,57.78,5.1,1,0,0,0,21018,1863,57.58,5.1
"170","Summer Olympics 2020",865,0,2.37,0,0,0,0,0,865,0,2.37,0
"171","Suriname",46236,1067,126.67,2.92,0,0,0,0,46236,1067,126.67,2.92
"172","Sweden",877405,6587,2403.85,18.15,0,2,0,0,877405,6583,2403.85,18.04
"173","Switzerland",880319,4451,2411.83,12.57,0,11,0,0,880319,4344,2411.83,11.9
"174","Syria",38844,2186,106.42,5.99,0,0,0,0,38844,2186,106.42,5.99
"175","Taiwan*",16230,843,44.47,2.31,0,0,0,0,16230,843,44.47,2.31
"176","Tajikistan",3828,35,10.49,0.1,0,0,0,0,3828,35,10.49,0.1
"177","Tanzania",28797,716,78.9,1.96,0,0,0,0,28797,716,78.9,1.96
"178","Thailand",2216551,21637,6072.74,59.28,0,0,0,0,2216551,21637,6072.74,59.28
"179","Timor-Leste",19793,122,54.23,0.33,0,0,0,0,19793,122,54.23,0.33
"180","Togo",26530,180,72.68,0.49,0,0,0,0,26530,180,72.68,0.49
"181","Tonga",1,0,0,0,0,0,0,0,1,0,0,0
"182","Trinidad and Tobago",84749,2742,232.19,7.51,0,0,0,0,84749,2742,232.19,7.51
"183","Tunisia",587566,20893,1609.77,57.24,0,0,0,0,587566,20893,1609.77,57.24
"184","Turkey",7273898,61480,19928.49,168.44,0,0,0,0,7273898,61480,19928.49,168.44
"185","Uganda",105521,3049,289.1,8.38,0,1,0,0,105521,3043,289.1,8.34
"186","Ukraine",2760229,82807,7562.27,226.87,0,0,0,0,2760229,82807,7562.27,226.87
"187","United Arab Emirates",554115,1495,1518.12,4.1,0,0,0,0,554115,1495,1518.12,4.1
"188","United Kingdom",10521815,82470,28985.72,225.95,2,0,0,0,10514666,82470,28807.3,225.95
"189","Uruguay",394264,5989,1080.18,16.41,0,0,0,0,394264,5989,1080.18,16.41
"190","US",34645729,475132,94919.81,1301.73,0,0,0,0,34645729,475132,94919.81,1301.73
"191","Uzbekistan",121843,871,333.82,2.39,0,0,0,0,121843,871,333.82,2.39
"192","Vanuatu",6,1,0.02,0,0,0,0,0,6,1,0.02,0
"193","Venezuela",331077,4300,907.06,11.78,0,0,0,0,331077,4300,907.06,11.78
"194","Vietnam",1729792,32359,4739.16,88.65,0,0,0,0,1729792,32359,4739.16,88.65
"195","West Bank and Gaza",331744,3519,908.89,9.64,0,0,0,0,331744,3519,908.89,9.64
"196","Winter Olympics 2022",0,0,0,0,0,0,0,0,0,0,0,0
"197","Yemen",8027,1374,21.99,3.76,0,0,0,0,8027,1374,21.99,3.76
"198","Zambia",233549,3346,639.86,9.17,0,0,0,0,233549,3346,639.86,9.17
"199","Zimbabwe",199391,4641,546.28,12.72,0,0,0,0,199391,4641,546.28,12.72
