날짜,종가,오픈,고가,저가,거래량,변동
2022-03-29,"1,207.35","1,223.82","1,225.12","1,207.27",,-1.33%
2022-03-28,"1,223.65","1,224.40","1,227.86","1,222.27",,-0.12%
2022-03-25,"1,225.08","1,221.00","1,226.31","1,216.35",,0.45%
2022-03-24,"1,219.58","1,219.02","1,225.05","1,217.10",,0.08%
2022-03-23,"1,218.62","1,215.19","1,219.80","1,210.91",,0.29%
2022-03-22,"1,215.07","1,218.82","1,223.92","1,214.51",,-0.20%
2022-03-21,"1,217.55","1,211.55","1,219.23","1,210.39",,0.53%
2022-03-18,"1,211.15","1,210.58","1,217.27","1,207.01",,0.10%
2022-03-17,"1,209.89","1,224.95","1,227.70","1,207.83",,-1.26%
2022-03-16,"1,225.35","1,241.66","1,244.06","1,225.32",,-1.23%
2022-03-15,"1,240.62","1,242.01","1,247.35","1,239.30",,0.00%
2022-03-14,"1,240.64","1,237.10","1,242.82","1,234.68",,0.29%
2022-03-11,"1,237.08","1,228.77","1,237.91","1,228.23",,0.67%
2022-03-10,"1,228.83","1,223.24","1,231.74","1,223.13",,0.47%
2022-03-09,"1,223.13","1,233.64","1,235.94","1,222.75",,-0.84%
2022-03-08,"1,233.53","1,232.26","1,238.83","1,227.97",,0.11%
2022-03-07,"1,232.14","1,221.65","1,233.47","1,220.05",,1.21%
2022-03-04,"1,217.45","1,206.93","1,219.78","1,206.35",,0.99%
2022-03-03,"1,205.54","1,203.26","1,209.29","1,202.18",,0.20%
2022-03-02,"1,203.16","1,205.42","1,208.99","1,201.98",,-0.18%
2022-03-01,"1,205.32","1,201.18","1,206.37","1,197.68",,0.43%
2022-02-28,"1,200.12","1,207.65","1,208.97","1,200.76",,0.21%
2022-02-25,"1,197.57","1,206.11","1,206.90","1,197.73",,-0.70%
2022-02-24,"1,206.05","1,192.60","1,211.47","1,191.93",,1.14%
2022-02-23,"1,192.44","1,193.03","1,194.34","1,189.64",,0.05%
2022-02-22,"1,191.90","1,194.60","1,196.60","1,190.74",,-0.15%
2022-02-21,"1,193.68","1,198.30","1,199.72","1,189.73",,-0.16%
2022-02-18,"1,195.59","1,198.76","1,199.55","1,192.95",,-0.25%
2022-02-17,"1,198.63","1,196.69","1,200.06","1,194.44",,0.18%
2022-02-16,"1,196.53","1,196.86","1,199.57","1,195.22",,-0.02%
2022-02-15,"1,196.76","1,197.44","1,200.59","1,195.29",,-0.05%
2022-02-14,"1,197.32","1,200.10","1,200.17","1,193.93",,-0.18%
2022-02-11,"1,199.48","1,200.10","1,201.87","1,193.23",,-0.03%
2022-02-10,"1,199.83","1,194.17","1,200.65","1,193.42",,0.48%
2022-02-09,"1,194.05","1,196.40","1,197.47","1,193.02",,-0.19%
2022-02-08,"1,196.35","1,196.92","1,200.38","1,196.21",,-0.04%
2022-02-07,"1,196.87","1,199.00","1,201.09","1,196.72",,-0.12%
2022-02-04,"1,198.25","1,200.65","1,202.05","1,196.81",,-0.10%
2022-02-03,"1,199.47","1,200.36","1,207.19","1,198.68",,0.00%
2022-02-02,"1,199.46","1,202.47","1,204.41","1,198.82",,-0.24%
2022-02-01,"1,202.31","1,204.75","1,208.01","1,201.61",,-0.19%
2022-01-31,"1,204.63","1,209.71","1,212.92","1,204.20",,-0.41%
2022-01-28,"1,209.56","1,203.82","1,213.86","1,203.65",,0.48%
2022-01-27,"1,203.77","1,200.75","1,205.79","1,200.15",,0.56%
2022-01-26,"1,197.03","1,196.35","1,198.51","1,194.29",,0.06%
2022-01-25,"1,196.35","1,195.69","1,199.93","1,195.17",,0.06%
2022-01-24,"1,195.59","1,193.30","1,197.90","1,192.49",,0.26%
2022-01-21,"1,192.51","1,192.49","1,195.05","1,190.14",,0.01%
2022-01-20,"1,192.42","1,188.21","1,193.88","1,187.19",,0.36%
2022-01-19,"1,188.13","1,193.03","1,193.94","1,186.66",,-0.38%
2022-01-18,"1,192.69","1,190.98","1,194.33","1,185.93",,0.23%
2022-01-17,"1,189.99","1,190.55","1,194.13","1,189.49",,-0.01%
2022-01-14,"1,190.07","1,186.77","1,192.42","1,185.67",,0.33%
2022-01-13,"1,186.11","1,185.96","1,189.94","1,184.04",,0.02%
2022-01-12,"1,185.87","1,190.55","1,193.20","1,185.11",,-0.54%
2022-01-11,"1,192.31","1,198.14","1,198.60","1,192.30",,-0.48%
2022-01-10,"1,198.04","1,198.20","1,201.81","1,195.95",,0.03%
2022-01-07,"1,197.63","1,205.03","1,205.78","1,197.32",,-0.61%
2022-01-06,"1,204.95","1,200.65","1,207.11","1,197.20",,0.56%
2022-01-05,"1,198.20","1,197.54","1,200.18","1,195.91",2.66K,0.06%
2022-01-04,"1,197.49","1,194.77","1,199.49","1,192.75",2.59K,0.38%
2022-01-03,"1,193.00","1,189.80","1,193.86","1,187.55",2.28K,0.42%
2021-12-31,"1,187.96","1,190.22","1,191.31","1,186.67",1.68K,-0.12%
2021-12-30,"1,189.36","1,184.79","1,190.72","1,182.75",9.76K,0.39%
2021-12-29,"1,184.70","1,188.14","1,188.59","1,184.06",23.93K,-0.29%
2021-12-28,"1,188.09","1,186.59","1,189.39","1,185.31",14.25K,0.21%
2021-12-27,"1,185.61","1,187.10","1,188.63","1,185.02",17.11K,-0.03%
2021-12-24,"1,185.99","1,185.64","1,188.40","1,184.69",16.81K,0.04%
2021-12-23,"1,185.55","1,187.94","1,190.76","1,184.89",15.88K,-0.39%
2021-12-22,"1,190.21","1,190.43","1,192.98","1,189.50",2.42K,-0.04%
2021-12-21,"1,190.67","1,189.95","1,193.81","1,189.00",2.52K,0.10%
2021-12-20,"1,189.53","1,188.10","1,192.67","1,186.79",4.11K,0.15%
2021-12-17,"1,187.70","1,186.39","1,188.63","1,180.03",25.78K,0.12%
2021-12-16,"1,186.29","1,185.41","1,188.86","1,181.63",25.88K,0.15%
2021-12-15,"1,184.57","1,185.24","1,190.22","1,183.93",15.27K,-0.05%
2021-12-14,"1,185.19","1,185.10","1,186.38","1,180.97",25.16K,0.02%
2021-12-13,"1,184.91","1,180.96","1,186.16","1,177.03",24.42K,0.34%
2021-12-10,"1,180.86","1,178.27","1,182.82","1,176.40",22.21K,0.23%
2021-12-09,"1,178.15","1,173.42","1,179.37","1,172.62",6.40K,0.25%
2021-12-08,"1,175.19","1,176.85","1,179.31","1,175.12",7.03K,-0.13%
2021-12-07,"1,176.73","1,180.66","1,184.03","1,176.56",22.36K,-0.32%
2021-12-06,"1,180.54","1,184.85","1,186.49","1,179.70",21.15K,-0.04%
2021-12-03,"1,181.00","1,176.85","1,183.63","1,175.83",6.21K,0.36%
2021-12-02,"1,176.74","1,177.06","1,179.35","1,173.32",26.56K,-0.02%
2021-12-01,"1,176.93","1,182.84","1,185.49","1,173.33",7.27K,-0.49%
2021-11-30,"1,182.71","1,190.96","1,191.73","1,182.26",23.65K,-0.67%
2021-11-29,"1,190.69","1,195.80","1,196.00","1,189.90",23.78K,-0.31%
2021-11-26,"1,194.43","1,190.24","1,196.26","1,189.74",10.99K,0.36%
2021-11-25,"1,190.16","1,188.81","1,192.28","1,187.82",18.98K,0.12%
2021-11-24,"1,188.77","1,190.07","1,190.79","1,185.02",24.54K,-0.03%
2021-11-23,"1,189.08","1,190.57","1,192.47","1,187.06",24.46K,-0.08%
2021-11-22,"1,190.08","1,188.77","1,191.36","1,184.81",22.65K,0.25%
2021-11-19,"1,187.10","1,182.99","1,187.67","1,181.16",13.99K,0.40%
2021-11-18,"1,182.37","1,180.58","1,187.76","1,177.92",41.94K,0.16%
2021-11-17,"1,180.46","1,183.99","1,186.96","1,179.58",55.84K,-0.29%
2021-11-16,"1,183.85","1,183.56","1,185.80","1,175.30",46.70K,0.04%
2021-11-15,"1,183.42","1,179.94","1,184.78","1,177.17",26.54K,0.36%
